jobId,title,category,company,location,salary,listing_time,url
73837944,Programmer,Developer/Programmer,"Yayasan Rumah Sakit Charitas","Sumatera Selatan","Rp 4.000.000 – Rp 6.000.000 per month","25 hari yang lalu",https://www.jobstreet.co.id/id/job/73837944?type=standout&ref=search-standalone&origin=cardTitle
73795235,"Full Stack Developer",Developer/Programmer,"PT. ARLITA PERSADA INDONESIA",Bekasi,"Rp 3.500.000 – Rp 5.000.000 per month","25 hari yang lalu",https://www.jobstreet.co.id/id/job/73795235?type=standard&ref=search-standalone&origin=cardTitle
73837883,"IT INFRASTRUCTURE & SECURITY DEPT OFFICER","Teknik – Jaringan","PT Pesta Pora Abadi",Malang,,"25 hari yang lalu",https://www.jobstreet.co.id/id/job/73837883?type=standout&ref=search-standalone&origin=cardTitle
73837547,"Engineer (Fiber Optic) / Jointer",Telekomunikasi,"PT Infratech Indonesia","Lubuk Linggau",,"25 hari yang lalu",https://www.jobstreet.co.id/id/job/73837547?type=standard&ref=search-standalone&origin=cardTitle
73837537,"IT Support Yogyakarta","Teknik – Perangkat Keras","PT Cahaya Research Indonesia","DI Yogyakarta","Rp 4.000.000 – Rp 4.600.000 per month","25 hari yang lalu",https://www.jobstreet.co.id/id/job/73837537?type=standout&ref=search-standalone&origin=cardTitle
73837467,"IT BUSINESS SYSTEM INFORMATION STAFF","Analis Bisnis/Sistem","PT Pesta Pora Abadi",Malang,,"25 hari yang lalu",https://www.jobstreet.co.id/id/job/73837467?type=standout&ref=search-standalone&origin=cardTitle
73837423,"Junior FullStack Software Developer",Developer/Programmer,"Real Magick","Jakarta Raya",,"25 hari yang lalu",https://www.jobstreet.co.id/id/job/73837423?type=standout&ref=search-standalone&origin=cardTitle
73837150,"Backend Developer",Developer/Programmer,"PT Avows Technologies","Jakarta Raya","Rp 8.000.000 – Rp 10.000.000 per month","25 hari yang lalu",https://www.jobstreet.co.id/id/job/73837150?type=standout&ref=search-standalone&origin=cardTitle
73835268,"Quality Assurance","Uji Coba & Penjaminan Mutu","Coding Collective",Yogyakarta,"Rp 3.500.000 – Rp 5.200.000 per month","25 hari yang lalu",https://www.jobstreet.co.id/id/job/73835268?type=standout&ref=search-standalone&origin=cardTitle
73834875,"Software Development & Operation Staff",Developer/Programmer,"PT. MEKAR ARMADA INVESTAMA","Jakarta Pusat",,"25 hari yang lalu",https://www.jobstreet.co.id/id/job/73834875?type=standard&ref=search-standalone&origin=cardTitle
73834410,"Fullstack Developer",Developer/Programmer,"PT Tumbuh Bersama Nano",Malang,,"25 hari yang lalu",https://www.jobstreet.co.id/id/job/73834410?type=standout&ref=search-standalone&origin=cardTitle
73842164,"DevOps Engineer","Administrasi Jaringan & Sistem","PT Nomura Research Institute Indonesia","Jakarta Raya",,"25 hari yang lalu",https://www.jobstreet.co.id/id/job/73842164?type=standard&ref=search-standalone&origin=cardTitle
73842898,"Professional Product Owner","Manajemen & Pengembangan Produk","PT Nomura Research Institute Indonesia","Jakarta Raya",,"25 hari yang lalu",https://www.jobstreet.co.id/id/job/73842898?type=standard&ref=search-standalone&origin=cardTitle
73841747,"Scrum Master","Manajemen Program & Proyek","PT Nomura Research Institute Indonesia","Jakarta Raya",,"25 hari yang lalu",https://www.jobstreet.co.id/id/job/73841747?type=standard&ref=search-standalone&origin=cardTitle
73842174,"Product Owner - Banking Industry","Manajemen Program & Proyek","PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH)","Jakarta Raya",,"25 hari yang lalu",https://www.jobstreet.co.id/id/job/73842174?type=standard&ref=search-standalone&origin=cardTitle
73832934,"UiPath Developer (Fully Remote)",Developer/Programmer,"PT. WOLKK CLOUD DEVELOPMENT",Denpasar,,"25 hari yang lalu",https://www.jobstreet.co.id/id/job/73832934?type=standout&ref=search-standalone&origin=cardTitle
